Unnamed: 0,DISTRICT,BLOCK,PANCHAYAT,VILLAGE,LATITUDE,LONGITUDE,PH,P,K,CA,MG
1,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65622,76.63101,5.6,57.31,268.24,1000.0,200.65
2,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65564,76.63068,5.9,79.07,565.26,949.95,254.48
3,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6567,76.63118,6.1,68.33,440.72,1000.0,404.48
4,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65708,76.63483,5.8,153.46,227.7,614.2,257.68
5,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65712,76.6353,4.7,64.2,199.7,265.65,148.68
8,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.66022,76.6369,6.2,141.34,491.79,696.05,354.4
9,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.66035,76.63776,5.5,19.56,521.58,530.25,209.43
10,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65591,76.63454,5.3,133.08,510.94,623.35,207.3
11,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.66053,76.63634,5.4,42.43,526.62,725.6,220.9
13,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6537,76.63752,5.5,81.55,333.42,781.1,227.3
14,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65849,76.63741,5.6,83.21,339.36,625.65,172.13
15,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.66094,76.63296,5.6,87.06,331.18,713.65,153.75
16,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65841,76.63471,4.8,12.12,478.69,652.25,120.7
18,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.65897,76.6354,5.0,28.38,393.01,290.8,205.28
19,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.66139,76.63403,5.5,23.42,447.55,501.1,233.18
20,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.66451,76.64576,6.5,81.53,670.43,1000.0,255.08
